caseid,humanori,atlantis,posthink,fortunet,astrolog,haunting,dreams,ufos,bigfoot,WATCH_TA,WATCH_CO,WATCH_TR,WATCH_CR
813,"God created man pretty much in his present form at one time within the last 10,000 years",Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Very often,Very often,Often,Rarely
814,"God created man pretty much in his present form at one time within the last 10,000 years",Agree,Strongly agree,Agree,Disagree,Agree,Agree,Agree,Agree,Rarely,Rarely,Rarely,Rarely
815,"God created man pretty much in his present form at one time within the last 10,000 years",Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Sometimes,Sometimes,Sometimes,Sometimes
816,"God created man pretty much in his present form at one time within the last 10,000 years",Disagree,Disagree,Strongly disagree,Strongly disagree,Strongly agree,Agree,Agree,Disagree,Rarely,Often,Often,Rarely
817,"God created man pretty much in his present form at one time within the last 10,000 years",Agree,Disagree,Strongly disagree,Strongly disagree,Disagree,Agree,Agree,Agree,Rarely,,Sometimes,Rarely
818,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Never,Never,Never,Never
819,"God created man pretty much in his present form at one time within the last 10,000 years",Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Rarely,Never,Rarely,Rarely
820,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Sometimes,Never,Rarely,Sometimes
821,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Sometimes,Rarely,Often,Sometimes
822,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Agree,Agree,Strongly disagree,Disagree,Agree,Agree,Agree,Disagree,Rarely,Very often,Often,Often
823,"God created man pretty much in his present form at one time within the last 10,000 years",Agree,Disagree,Disagree,Strongly disagree,Agree,Disagree,Strongly disagree,Disagree,Never,Never,Never,Never
824,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Disagree,Disagree,Disagree,Strongly disagree,Disagree,Disagree,Disagree,Disagree,Rarely,Rarely,,Sometimes
825,"God created man pretty much in his present form at one time within the last 10,000 years",Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Often,Sometimes,,Sometimes
826,"God created man pretty much in his present form at one time within the last 10,000 years",Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Never,Never,Rarely,Rarely
827,"God created man pretty much in his present form at one time within the last 10,000 years",Disagree,Agree,Strongly disagree,Agree,Strongly agree,Agree,Agree,Disagree,Sometimes,Sometimes,Sometimes,Rarely
828,"God created man pretty much in his present form at one time within the last 10,000 years",Disagree,Agree,Disagree,Strongly disagree,Agree,Agree,Strongly disagree,Disagree,Rarely,Rarely,Rarely,Rarely
829,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Strongly disagree,Strongly agree,Disagree,Strongly disagree,Disagree,Disagree,Disagree,Disagree,Rarely,Sometimes,Sometimes,Rarely
830,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Disagree,,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Never,Never,Rarely,Rarely
831,"God created man pretty much in his present form at one time within the last 10,000 years",,Disagree,Disagree,Disagree,Disagree,,Disagree,Disagree,Never,Never,Never,Never
832,"God created man pretty much in his present form at one time within the last 10,000 years",Agree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Sometimes,Sometimes,Often,Often
833,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Rarely,Rarely,Rarely,Rarely
834,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Disagree,Agree,Strongly disagree,Disagree,Agree,Agree,Agree,Strongly disagree,Rarely,Sometimes,Sometimes,Sometimes
835,"God created man pretty much in his present form at one time within the last 10,000 years",Disagree,Disagree,Strongly disagree,Strongly disagree,Agree,Disagree,Strongly disagree,Strongly disagree,Rarely,Sometimes,Never,Never
836,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Agree,Disagree,Strongly disagree,Agree,Disagree,Agree,Disagree,Very often,Never,Never,Never
837,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Disagree,Agree,Disagree,Strongly disagree,Strongly disagree,Agree,Disagree,Strongly disagree,Never,Never,Never,Never
838,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Agree,Agree,Strongly disagree,Strongly disagree,Agree,Disagree,Agree,Disagree,Rarely,Rarely,Sometimes,Rarely
839,"God created man pretty much in his present form at one time within the last 10,000 years",Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Never,Never,Never,Rarely
840,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Sometimes,Never,Never,Never
841,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Rarely,Rarely,Sometimes,Sometimes
842,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Disagree,Strongly disagree,Sometimes,Sometimes,Sometimes,Very often
843,"God created man pretty much in his present form at one time within the last 10,000 years",Strongly disagree,Strongly disagree,Agree,Strongly agree,Strongly disagree,Agree,Disagree,Strongly disagree,Often,Sometimes,Sometimes,Very often
844,"God created man pretty much in his present form at one time within the last 10,000 years",Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Sometimes,Sometimes,Sometimes,Sometimes
845,"God created man pretty much in his present form at one time within the last 10,000 years",Strongly agree,Strongly agree,Agree,Disagree,Strongly agree,Strongly agree,Agree,Strongly agree,Rarely,Rarely,Sometimes,Sometimes
846,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Sometimes,Sometimes,Sometimes,Sometimes
847,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,,Never,Rarely,Often
848,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Strongly agree,Strongly agree,Agree,Disagree,Agree,Agree,Agree,Agree,Never,Never,Never,Never
849,"God created man pretty much in his present form at one time within the last 10,000 years",Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Sometimes,Rarely,Often,Sometimes
850,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Disagree,Strongly agree,Disagree,Agree,Strongly agree,Strongly agree,Disagree,Disagree,Sometimes,Sometimes,Sometimes,Very often
851,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Agree,Disagree,Strongly disagree,Strongly disagree,Never,Never,Never,Never
852,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Disagree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Rarely,Rarely,Sometimes,Sometimes
853,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Rarely,Sometimes,Sometimes,Sometimes
854,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Strongly agree,Agree,Disagree,Agree,Strongly disagree,Agree,Disagree,Agree,Often,Very often,Sometimes,Often
855,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Disagree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Rarely,Rarely,Never,Never
856,"God created man pretty much in his present form at one time within the last 10,000 years",Disagree,Agree,Disagree,Strongly disagree,Disagree,Agree,Disagree,Disagree,Very often,Sometimes,Sometimes,Often
857,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Disagree,Disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Disagree,Disagree,Sometimes,Sometimes,Sometimes,Rarely
858,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Disagree,Strongly disagree,Strongly disagree,Sometimes,Sometimes,Very often,Very often
859,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Rarely,Often,Sometimes,Never
860,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Agree,Strongly disagree,Disagree,Disagree,Disagree,Agree,Agree,Rarely,Sometimes,Rarely,Often
861,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Strongly agree,Agree,Disagree,Disagree,Strongly disagree,Strongly disagree,Disagree,Agree,Sometimes,Sometimes,Sometimes,Rarely
862,"God created man pretty much in his present form at one time within the last 10,000 years",Disagree,Disagree,Disagree,Strongly disagree,Agree,Agree,Disagree,Disagree,Never,Never,Never,Rarely
863,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Often,Very often,Often,Very often
864,"God created man pretty much in his present form at one time within the last 10,000 years",Disagree,Strongly disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Sometimes,Sometimes,Sometimes,Sometimes
865,"God created man pretty much in his present form at one time within the last 10,000 years",Agree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Strongly disagree,Very often,Sometimes,Rarely,Often
866,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Agree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Never,Sometimes,Sometimes,Sometimes
867,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Agree,Disagree,Strongly disagree,Agree,Agree,Agree,Agree,Very often,Often,Very often,Rarely
868,"God created man pretty much in his present form at one time within the last 10,000 years",Agree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,,,,
869,,,,,,,,,,Never,Never,Never,Never
870,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Agree,Strongly agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Sometimes,Sometimes,Sometimes,Rarely
871,"God created man pretty much in his present form at one time within the last 10,000 years",Disagree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Never,Never,Never,Never
872,"God created man pretty much in his present form at one time within the last 10,000 years",Agree,Agree,Strongly disagree,Disagree,Strongly disagree,Agree,Strongly disagree,Disagree,Often,Sometimes,Often,Often
874,,,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Never,Never,Never,Never
875,,,,,,,,,,,,,
876,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Rarely,Rarely,,Often
877,"God created man pretty much in his present form at one time within the last 10,000 years",Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,,Rarely,Rarely,Sometimes
878,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Disagree,Agree,Disagree,Strongly disagree,Disagree,Disagree,Disagree,Disagree,Never,Rarely,Never,Rarely
879,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Disagree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Rarely,Often,Rarely,Often
880,"God created man pretty much in his present form at one time within the last 10,000 years",Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Sometimes,Never,Sometimes,Sometimes
881,"God created man pretty much in his present form at one time within the last 10,000 years",Agree,Agree,Disagree,Strongly disagree,Agree,Agree,Agree,Agree,Rarely,Sometimes,Never,Rarely
882,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Rarely,Sometimes,Sometimes,Sometimes
883,"God created man pretty much in his present form at one time within the last 10,000 years",Disagree,Agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Never,Rarely,Sometimes,Very often
884,,,,,,,,,,,,,
885,Man has developed over millions of years from less advanced forms of life. God had no part in this process,,,,,,,,,Often,Often,,Sometimes
886,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Disagree,Agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Disagree,Strongly disagree,Rarely,Often,Often,Often
887,"God created man pretty much in his present form at one time within the last 10,000 years",,,,,,,,,Very often,Sometimes,Very often,Very often
888,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Disagree,Agree,Strongly disagree,Strongly disagree,Agree,Disagree,Strongly disagree,Strongly disagree,Rarely,Very often,Never,Often
889,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Strongly agree,Agree,Disagree,Disagree,Agree,Agree,Strongly agree,Strongly agree,Never,Never,Often,Sometimes
890,"God created man pretty much in his present form at one time within the last 10,000 years",Disagree,Disagree,Strongly disagree,Strongly disagree,Agree,Strongly agree,Disagree,Agree,Never,Never,Never,Never
891,"God created man pretty much in his present form at one time within the last 10,000 years",Disagree,Agree,Strongly disagree,Strongly disagree,Strongly agree,Agree,Disagree,Strongly disagree,Rarely,Never,Very often,Never
893,"God created man pretty much in his present form at one time within the last 10,000 years",Strongly agree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Often,Very often,Often,Very often
894,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Often,Sometimes,Sometimes,Sometimes
895,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Agree,Strongly disagree,Strongly disagree,Disagree,Agree,Disagree,Disagree,Rarely,Often,Rarely,Very often
896,"God created man pretty much in his present form at one time within the last 10,000 years",Strongly disagree,Agree,Disagree,Strongly disagree,Disagree,Agree,Disagree,Disagree,Rarely,Sometimes,Rarely,Rarely
897,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Sometimes,Rarely,Rarely,Sometimes
898,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Agree,Agree,Strongly disagree,Strongly disagree,Agree,Agree,Agree,Strongly disagree,Rarely,Never,Sometimes,Often
899,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Rarely,Sometimes,Sometimes,Often
900,"God created man pretty much in his present form at one time within the last 10,000 years",Disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Agree,Strongly disagree,Sometimes,,Often,Very often
901,"God created man pretty much in his present form at one time within the last 10,000 years",Disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Often,Often,Sometimes,Sometimes
902,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Agree,Strongly disagree,Strongly disagree,Agree,Agree,Agree,Disagree,Never,Sometimes,Never,Never
903,"God created man pretty much in his present form at one time within the last 10,000 years",Agree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,,Strongly disagree,Rarely,Very often,Sometimes,Very often
904,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Disagree,Disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,Sometimes,Often,Sometimes,Very often
905,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Rarely,Sometimes,Sometimes,Rarely
906,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Agree,Disagree,Disagree,Disagree,Disagree,Strongly agree,Agree,Rarely,Rarely,Rarely,Rarely
907,"God created man pretty much in his present form at one time within the last 10,000 years",Disagree,Agree,Strongly disagree,Disagree,Agree,Agree,Strongly disagree,Disagree,Sometimes,Sometimes,Sometimes,Sometimes
909,"God created man pretty much in his present form at one time within the last 10,000 years",Disagree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Sometimes,Never,Very often,Very often
910,"God created man pretty much in his present form at one time within the last 10,000 years",Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Rarely,Rarely,Often,Rarely
911,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Often,Often,Rarely,Rarely
912,"God created man pretty much in his present form at one time within the last 10,000 years",Disagree,Agree,Strongly disagree,Agree,Agree,Agree,Strongly disagree,Strongly disagree,Sometimes,Sometimes,Rarely,Rarely
913,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Rarely,Rarely,Never,Rarely
914,"God created man pretty much in his present form at one time within the last 10,000 years",Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Never,Often,Very often,Never
915,,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Often,Sometimes,Sometimes,Sometimes
916,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Disagree,Disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Disagree,Disagree,Sometimes,Often,Rarely,Sometimes
917,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Agree,Agree,Strongly disagree,Strongly disagree,Disagree,Agree,Disagree,Agree,Sometimes,Often,Rarely,Rarely
918,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Disagree,Agree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Often,Sometimes,Often,Often
919,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Disagree,Agree,Strongly disagree,Strongly disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,Rarely,Rarely,Never,Sometimes
920,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Sometimes,Sometimes,Sometimes,Sometimes
921,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Rarely,Never,Never,Never
922,"God created man pretty much in his present form at one time within the last 10,000 years",Disagree,Strongly disagree,Disagree,Strongly disagree,Disagree,Agree,Agree,Disagree,Rarely,Never,Rarely,Very often
923,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Sometimes,Never,Sometimes,Sometimes
924,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Agree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Rarely,Never,Sometimes,Very often
925,"God created man pretty much in his present form at one time within the last 10,000 years",Agree,Disagree,Disagree,Strongly disagree,Agree,Agree,Disagree,Strongly disagree,Very often,Sometimes,Sometimes,Sometimes
926,"God created man pretty much in his present form at one time within the last 10,000 years",Agree,Strongly disagree,Disagree,Disagree,Agree,Disagree,Strongly disagree,Disagree,Never,Rarely,Never,Sometimes
927,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Agree,Agree,Agree,Disagree,Strongly agree,Agree,Strongly agree,Disagree,Rarely,Sometimes,Rarely,Sometimes
928,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Agree,Agree,Disagree,Strongly disagree,Agree,Agree,Disagree,Strongly disagree,Often,Very often,Sometimes,Rarely
929,"God created man pretty much in his present form at one time within the last 10,000 years",,,,,,,,,Rarely,Sometimes,Sometimes,Sometimes
930,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Disagree,Strongly agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Rarely,Never,Never,Never
931,"God created man pretty much in his present form at one time within the last 10,000 years",Disagree,Strongly agree,Disagree,Disagree,Disagree,Disagree,,Disagree,Often,Often,Sometimes,Often
932,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Disagree,Agree,Strongly disagree,Strongly disagree,Disagree,Disagree,Disagree,Disagree,Rarely,Often,Rarely,Rarely
933,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Rarely,Sometimes,Very often,Often
934,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Agree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Disagree,Sometimes,Rarely,Never,Sometimes
935,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Disagree,Agree,Disagree,Strongly agree,Agree,Agree,Disagree,Rarely,Rarely,Never,Never
936,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Agree,Agree,Disagree,Strongly disagree,Agree,Strongly agree,Disagree,Disagree,Often,Sometimes,Very often,Very often
937,"God created man pretty much in his present form at one time within the last 10,000 years",Agree,Agree,Strongly disagree,Strongly disagree,Disagree,Agree,Disagree,Strongly disagree,Rarely,Rarely,Sometimes,Often
938,"God created man pretty much in his present form at one time within the last 10,000 years",Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Sometimes,Sometimes,Sometimes,Sometimes
939,"God created man pretty much in his present form at one time within the last 10,000 years",Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Never,Never,Rarely,Rarely
940,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Sometimes,Rarely,Sometimes,Rarely
941,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Disagree,Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Never,Never,Rarely,Often
942,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Agree,Disagree,Disagree,Strongly disagree,Disagree,Agree,Agree,Agree,Rarely,Often,Rarely,Sometimes
943,"God created man pretty much in his present form at one time within the last 10,000 years",Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Often,Sometimes,Sometimes,Often
944,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Rarely,Rarely,Rarely,Very often
945,"God created man pretty much in his present form at one time within the last 10,000 years",Agree,Agree,Strongly disagree,Strongly disagree,Disagree,Disagree,Agree,Disagree,Never,Rarely,Never,Very often
946,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Sometimes,Rarely,Rarely,Rarely
947,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",,,,,,,,,Never,Never,Never,Never
948,,,,,,,,,,,,,
949,"God created man pretty much in his present form at one time within the last 10,000 years",Disagree,Disagree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Disagree,Strongly disagree,Never,Rarely,Never,Sometimes
950,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Agree,Disagree,Strongly disagree,Agree,Agree,Disagree,Strongly disagree,Never,Never,Never,Never
951,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Disagree,Often,Sometimes,Sometimes,Sometimes
952,"God created man pretty much in his present form at one time within the last 10,000 years",Strongly agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Sometimes,Often,Rarely,Rarely
953,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Agree,Strongly disagree,Disagree,Agree,Agree,Strongly disagree,Strongly disagree,Never,Never,Sometimes,Rarely
954,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Sometimes,Sometimes,Sometimes,Very often
955,,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Sometimes,Never,Never,Never
956,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",,,,,,,,,Rarely,Never,Often,Very often
957,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Often,Often,Often,Often
958,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Strongly agree,Strongly agree,Disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Sometimes,Very often,Sometimes,Sometimes
959,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,,Disagree,Strongly disagree,Agree,Agree,Strongly agree,Agree,Often,Rarely,Very often,Sometimes
960,"God created man pretty much in his present form at one time within the last 10,000 years",Agree,Strongly agree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Often,Often,Sometimes,Sometimes
961,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Never,Never,Never,Often
963,"God created man pretty much in his present form at one time within the last 10,000 years",Agree,Agree,Strongly disagree,Strongly disagree,Disagree,Disagree,Strongly disagree,,Sometimes,Never,Rarely,Often
964,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Disagree,Strongly agree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Sometimes,Sometimes,Often,Often
965,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Rarely,Sometimes,Never,Never
966,"God created man pretty much in his present form at one time within the last 10,000 years",Agree,Disagree,Strongly disagree,Strongly disagree,Agree,Agree,Strongly disagree,Agree,Sometimes,Rarely,Sometimes,Often
967,"God created man pretty much in his present form at one time within the last 10,000 years",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Rarely,Never,Sometimes,Sometimes
968,"God created man pretty much in his present form at one time within the last 10,000 years",Disagree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Rarely,Sometimes,Very often,Very often
969,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Disagree,Agree,Disagree,Strongly disagree,Agree,Agree,Disagree,Disagree,Never,Very often,Sometimes,Sometimes
970,"God created man pretty much in his present form at one time within the last 10,000 years",Agree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Very often,Sometimes,Often,Rarely
971,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Agree,Disagree,Agree,Disagree,Strongly agree,Agree,Agree,Agree,Sometimes,Sometimes,Rarely,Often
972,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Sometimes,Rarely,Rarely,Rarely
973,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Never,Never,Sometimes,Sometimes
974,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Rarely,Sometimes,Rarely,Sometimes
975,"God created man pretty much in his present form at one time within the last 10,000 years",Strongly agree,Strongly agree,Disagree,Strongly disagree,Strongly agree,Strongly agree,Disagree,Disagree,Never,Very often,Never,Never
976,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Often,Rarely,Sometimes,Rarely
