X,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery
121621,US,"The nose on this Norton is an admixture of underbrush and dark chocolate notes, coupled with blackberry, rose and vanilla accents. Medium to full in body, it has fine, dusty tannins and balanced acids. The finish comes with a hint of tobacco and a minerally tang.",Estates,85,31,Missouri,Missouri,,,,Mount Pleasant Winery 2009 Estates Norton (Missouri),Norton,Mount Pleasant Winery
121770,US,"This is an interesting variety choice for Michigan, yet it seems to show some typicity. Muddled stone fruit meets yellow plum and milky, white flowers on the nose. The palate is focused on citrus and pineapple rind while showing good overall balance of acidity.",Braganini Reserve,86,15,Michigan,Michigan,,Alexander Peartree,,St. Julian 2013 Braganini Reserve AlbariÃ±o (Michigan),AlbariÃ±o,St. Julian
121875,US,"An acid-driven wine, this has a palpable tartness, with feeble notes of raw wood, blueberry and smoke. Pairing this with a grilled pizza with a layer of tomato sauce could help tame the wild acids.",Jeunette Rouge,81,9,Missouri,Missouri,,,,Les Bourgeois NV Jeunette Rouge Red (Missouri),Red Blend,Les Bourgeois
123561,US,"Wooly aromas of white orchard fruit and toasty peanut shell define the nose. On the palate, zesty acids propel the modest white-peach flavor, leading to a slightly short but clean finish.",Solay,83,8,Missouri,Missouri,,,,Les Bourgeois 2011 Solay White (Missouri),White Blend,Les Bourgeois
123562,US,"Muffled, shy aromas are redolent of cherries, dried flowers and pear drops. Soft and rounded, the palate has a sweet quality about its core, with mild acids and a dusting of tannins.",Fleur du Vin Fruity Semi Dry,83,10,Missouri,Missouri,,,,Les Bourgeois NV Fleur du Vin Fruity Semi Dry Red (Missouri),Red Blend,Les Bourgeois
123570,US,"A blend of 70% Cabernet Franc and 30% Merlot, this feels a little light on flesh, providing little cushion to the high acids. A campfire smokiness underscores the rusty dark-fruit note, which ultimately finishes a bit short.",,83,NA,Michigan,Old Mission Peninsula,,,,2 Lads 2009 Cabernet Franc-Merlot (Old Mission Peninsula),Cabernet Franc-Merlot,2 Lads
123571,US,"A hit of sulfur slowly blows off to reveal aromas of hot stone and maple syrup, with undertones of dark stone fruit and dill. The medium-bodied palate offers soft acids that lend a slightly flat feel, with mild tannins adding some support.",Estate Grown,83,30,Michigan,Old Mission Peninsula,,,,Brys 2010 Estate Grown Pinot Noir (Old Mission Peninsula),Pinot Noir,Brys
126636,US,"Lightly charred cherries and plums take on additional oak tones of cocoa powder and espresso. The palate is fresher in character, boasting juicy red plum around a tight core of dusted minerals. Medium bodied and supported by grippy, sandy tannins, a shading of dark chocolate lingers on the finish of this well-balanced offering.",Reserve,89,35,Michigan,Old Mission Peninsula,,Alexander Peartree,,Hawthorne 2012 Reserve Merlot (Old Mission Peninsula),Merlot,Hawthorne
126646,US,"This is a contemplative blend of Merlot and Sangiovese, the latter being an atypical grape for the region. Using the winery's trademarked Nellaserra greenhouse system, this wine has found warmer-climate ripeness in the cool climes of northern Michigan. Blending characteristics of both grapes, black raspberry, cherry and plum meet savory herb and game tones on the nose and palate. Round in feel and nicely balanced, think of this as a softer, Americanized Super Tuscan.",Bel Tramonto,89,39,Michigan,Old Mission Peninsula,,Alexander Peartree,,Mari 2010 Bel Tramonto Red (Old Mission Peninsula),Red Blend,Mari
127198,US,"A Claret from Missouri? Adventurers should give this wine a shot. On the nose, it's delicate and filled with floral and soft, spicy notes. The flavors are somewhat thin and wan thoughâ€”red berry, pepper, tobaccoâ€”and the wine finishes with a slightly bitter edge. Pair with with barbecueâ€”it might fare better.",Claret,82,15,Missouri,Missouri,,Susan Kostrzewa,@suskostrzewa,Mount Pleasant Winery 2006 Claret Red (Missouri),Red Blend,Mount Pleasant Winery
127936,US,"Ambitious and concentrated, with an inky color and a juicy, mouthwatering palate framed by mature blackberry and raspberry fruit. A pronounced char note on the nose follows through to a medium, slightly tart finish. Try with barbecued pork belly. Already showing signs of earthy maturity, this wine is unlikely to benefit from further aging though the firm acid will allow it to keep another year or two.",,86,35,Missouri,Missouri,,,,Mount Pleasant Winery 2006 Norton (Missouri),Norton,Mount Pleasant Winery
127966,US,"Light ruby in color, 50% of this bottling sees 10 months in new French oak. Juicy cranberry and floral strawberry meet peppery spice on the round palate. A light dusting of tannins give structure, with the vibrant acidity keeping things short and snappy.",,87,30,Michigan,Old Mission Peninsula,,Alexander Peartree,,Hawthorne 2013 Lemberger (Old Mission Peninsula),Lemberger,Hawthorne
127976,US,"Charred blue- and black-berry aromas mingle with cola and coffee on the nose. The palate follows suit, adding in a toasted black pepper spice that leads to a mild burnt-bacon finish. Medium bodied with prickling acidity, this toasty, gamy Syrah could sit through 2016 to mellow out.",Unrestricted,87,100,Michigan,Michigan,,Alexander Peartree,,Mackinaw Trail 2012 Unrestricted Syrah (Michigan),Syrah,Mackinaw Trail
127980,US,"A split blend of Cabernet Franc and Merlot, this shows a healthy mix of red currant and cranberry on the nose, with an mentholated herbal note adding lift. The palate is plush and round, with mildly grippy tannins and fresh, zippy red-fruit flavors.",Right Bank Abigail's Vineyard Domaine Barrien,87,79,Michigan,Lake Michigan Shore,,Alexander Peartree,,Nathaniel Rose 2012 Right Bank Abigail's Vineyard Domaine Barrien Red (Lake Michigan Shore),Bordeaux-style Red Blend,Nathaniel Rose
128257,US,"Simple but refreshing and crisp, with nice grapefruit, lime and lemon peel accents. The faintly off-dry finish turns a bit tart.",Dry,80,16,Missouri,Missouri,,,,Montelle 2008 Dry Vignoles (Missouri),Vignoles,Montelle
128259,US,"While there's some nice, honest fruit here, it's weighed down by heavy vanilla overtones. The finish is long enough but shows a confected element and winds up with a singed wood tone.",,80,14,Missouri,Missouri,,,,Montelle 2008 Chambourcin (Missouri),Chambourcin,Montelle
